id,market,success,active,lastpricesupratio_7,lastpricesdiffperccumul,movingaveragecomp_lower_of_ma7_ma22_in_1h,movingaveragelatestdiffcumul_30m_ma7_last_7,movingaveragelatestdiffcumul_15m_ma7_last_7
917,WRXBTC,1,0,0.83333333333333,0.8056,0.29,-1.1237,-1.3701
918,EOSBTC,0,0,0.83333333333333,0.2675,0.26,-0.0585,0.2497
919,ASTBTC,1,0,0.83333333333333,2.1674,-2.62,9.1791,3.4737
920,BTGBTC,0,0,0.83333333333333,1.2127,1.59,0.72,0.5805
921,MDABTC,0,0,0.83333333333333,0.5872,-0.21,0.4932,-0.1372
922,FETBTC,0,0,0.83333333333333,1.529,0.40,-0.5682,0.1321
923,ETHBTC,0,0,0.83333333333333,0.0492,0.01,-0.0212,0.1411
924,RLCBTC,0,0,0.83333333333333,0.9016,1.04,-1.9466,-0.4221
925,GASBTC,0,0,0.83333333333333,0.5581,0.33,-0.271,-0.1281
926,AIONBTC,1,0,0.83333333333333,0.4592,0.16,-0.7502,0.1456
927,XTZBTC,0,0,1,0.3332,0.82,-0.2266,0.034
928,BLZBTC,1,0,0.83333333333333,2.5766,-1.48,-2.7317,-0.4557
929,LENDBTC,0,0,0.83333333333333,1.1205,0.23,-1.5764,-0.1878
930,ZILBTC,0,0,0.83333333333333,4.2933,1.32,-0.5631,1.8905
931,ZRXBTC,0,0,0.83333333333333,1.3398,2.13,0.4724,0.6963
932,NEOBTC,0,0,0.83333333333333,0.1321,0.17,-0.1581,-0.1185
933,BEAMBTC,0,0,0.83333333333333,1.2043,-0.14,-1.1314,-0.3442
934,BNBBTC,0,0,1,0.206,-0.06,0.0025,-0.2478
935,NULSBTC,0,0,1,3.696,-4.15,4.1295,1.6146
936,KMDBTC,0,0,0.83333333333333,0.5684,0.41,-2.2042,-0.0646
937,XEMBTC,0,0,0.83333333333333,2.5413,-0.05,0.2143,0.3983
938,ARNBTC,1,0,0.83333333333333,0.9142,-0.45,1.4906,1.1625
939,WANBTC,0,0,0.83333333333333,0.7983,0.57,-0.1329,-0.5235
940,KAVABTC,1,0,0.83333333333333,0.4647,-0.12,0.4747,0.3984
941,RENBTC,0,0,0.83333333333333,1.0125,1.63,1.0256,-0.8071
